id;montadora_id;modelo;complemento;anos;complemento3;complemento4
27134;26;VARIANT II;2ª GERAÇÃO;1978...1981;;
27136;10;147;TODOS OS MODELOS;1986...;;
27137;17;O-364;FIXAÇÃO 248 / 251;...;;
27138;17;O-364;FIXAÇÃO 309 / 309;...;;
27139;17;O-400;FIXAÇÃO 309 / 309;...;;
27140;5;MONZA;HATCH;1983...1996;;SEM AEROFÓLIO
27141;5;KADETT;COM LIMPADOR TRASEIRO;1989...1998;;
27142;5;IPANEMA;SEM LIMPADOR TRASEIRO;1989...1998;;
27144;17;O-400;;...;;
27147;17;O-400;FIXAÇÃO 958 / 958;...;;
27148;26;APOLLO;TODOS OS MODELOS;1990...1992;;
27155;40;MARCOPOLO;FIXAÇÃO 248 / 251;...;;
27156;25;RF 2000;TODOS OS MODELOS;2001...2005;;
27157;25;T4;TODOS OS MODELOS;2001...2005;;
27158;17;O-400;FIXAÇÃO 579 / 579;...;;
27160;11;FIESTA;HATCH;1996...2001;;SEM LIMPADOR TRASEIRO
27161;11;FIESTA;STREET HATCH;2001...2003;;SEM LIMPADOR TRASEIRO
27162;38;113;R;...;;FIXAÇÃO 248 / 251
27163;38;P-114;FIXAÇÃO 579 / 579;...;;
27164;38;P-124;FIXAÇÃO 579 / 579;...;;
27165;38;P-94;FIXAÇÃO 579 / 579;...;;
27166;38;R-114;FIXAÇÃO 579 / 579;...;;
27167;38;R-124;FIXAÇÃO 579 / 579;...;;
27168;38;R-164;FIXAÇÃO 579 / 579;...;;
27169;38;SÉRIE 4;FIXAÇÃO 579 / 579;...;;
27174;21;SCENIC;TODOS OS MODELOS;1999...;;
27175;84;320;;2009...2012;;
27177;5;BLAZER;TODOS OS MODELOS;2000...;;
27178;5;S10;TODOS OS MODELOS;2001...;;
27179;17;FSK;FIXAÇÃO 579 / 579;...;;
27180;38;SÉRIE 4;FIXAÇÃO 309 / 309;...;;
27181;5;ZAFIRA;TODOS OS MODELOS;2001...;;
27182;5;MERIVA;TODOS OS MODELOS;2002...;;
27184;5;CORSA;5 PORTAS;1994...2002;;
27185;17;O-371;FIXAÇÃO 309 / 309;...;;
27186;38;SÉRIE 3;FIXAÇÃO 309 / 309;...;;
27187;7;C3;TODOS OS MODELOS;2003...2012;;
27188;20;3008;;2009...2016;;
27189;20;206;HATCH;1999...2009;;
27190;20;207;HATCH;2008...2009;;
27191;20;307;HATCH;2004...2012;;
27192;20;308;HATCH;2013...2019;;
27193;7;BERLINGO;TODOS OS MODELOS;1998...2007;;
27194;7;XSARA PICASSO;TODOS OS MODELOS;2001...2004;;
27195;7;C3;;2013...;;
27196;10;PALIO;HATCH RST II - 3ª GERAÇÃO;2003...2013;;
27197;10;PALIO;HATCH RST III - 4ª GERAÇÃO;2007...2012;;
27199;10;PALIO WEEKEND;ADVENTURE - TODOS OS MODELOS;2005...2010;;
27200;10;PALIO WEEKEND;RST II - 3ª GERAÇÃO;2004...2010;;
27201;20;206 SW;TODOS OS MODELOS;2005...2010;;
27202;20;207 SW;TODOS OS MODELOS;2008...;;
27203;7;XSARA PICASSO;TODOS OS MODELOS;2005...;;
27205;20;207;PASSION;2008...;;
27207;18;PAJERO;TR4 - TODOS OS MODELOS;2002...;;
27209;11;FIESTA;SEDAN - TODOS OS MODELOS;2000...;;
27210;11;FOCUS;SEDAN - TODOS OS MODELOS;07.2000...2008;;
27211;11;FOCUS;HATCH;04.2002...2010;;
27212;20;306;TODOS OS MODELOS;1994...2004;;
27213;10;BRAVA;TODOS OS MODELOS;1999...2003;;
27219;5;CORSA SW;TODOS OS MODELOS;1994...2008;;
27220;21;MEGANE;SEDAN;2006...;;
27221;19;SENTRA;TODOS OS MODELOS;2008...;;
27222;15;SPORTAGE;TODOS OS MODELOS;1995...2010;;
27223;4;A3;TODOS OS MODELOS;1997...;;
27225;11;FUSION;TODOS OS MODELOS;2006...2007;;
27227;5;CAPTIVA;TODOS OS MODELOS;2008...;;
27228;26;POLO;HATCH;2002...2006;;
27229;26;FOX;TODOS OS MODELOS;2009...;;
27233;5;VECTRA;TODOS OS MODELOS;...;;
27234;5;VECTRA;SEDAN - TODOS OS MODELOS;2006...;;
27235;5;VECTRA;HATCH - TODOS OS MODELOS;2006...;;
27237;10;LINEA;TODOS OS MODELOS;2009...;;
27238;12;CR-V;TODOS OS MODELOS;2002...;;
27240;13;I30;TODOS OS MODELOS;2009...2012;;
27241;15;SORENTO;TODOS OS MODELOS;2004...2009;;
27242;26;JETTA;TODOS OS MODELOS;2006...2012;;
27244;45;RENEGADE;;...;;
27245;26;TIGUAN;TODOS OS MODELOS;2009...;;
27247;15;PICANTO;TODOS OS MODELOS;2006...2017;;
27248;10;BRAVO;TODOS OS MODELOS;2010...;;
27249;26;GOLF;TODOS OS MODELOS;2007...2011;;
27252;17;CLASSE A;160 / 190;1999...2005;;
27253;10;500;TODOS OS MODELOS - EXCETO CABRIO;2011...;;
27254;10;GRAND SIENA;TODOS OS MODELOS;2012...2013;;
27255;19;MARCH;TODOS OS MODELOS;2011...;;
27258;21;DUSTER;TODOS OS MODELOS;2011...;;
27259;21;OROCH;TODOS OS MODELOS;2015...;;
27260;18;LANCER;TODOS OS MODELOS;2012...;;
27261;5;CRUZE;HATCH - TODOS OS MODELOS;2011...;;
27262;5;SPIN;TODOS OS MODELOS;2012...;;
27263;5;MALIBU;TODOS OS MODELOS;2010...;;
27264;39;J3;HATCH;2011...;;
27265;11;FIESTA;HATCH;2002...2012;;
27266;11;FIESTA;HATCH;2011...;;
27267;11;ECOSPORT;2ª GERAÇÃO;2012...;;
27268;26;JETTA;TODOS OS MODELOS;2011...;;
27269;7;AIRCROSS;TODOS OS MODELOS;2010...;;
27270;7;C3 PICASSO;;2011...2015;;
27272;26;CROSSFOX;TODOS OS MODELOS;2005...;;
27273;5;TRAILBLAZER;TODOS OS MODELOS;2012...;;
27276;26;UP!;TODOS OS MODELOS;2014...;;
27277;12;HR-V;TODOS OS MODELOS;2015...;;
27278;21;SANDERO;;2014...;;
27279;10;MAREA WEEKEND;TODOS OS MODELOS;1998...2007;;
27280;4;A4;TODOS OS MODELOS;1994...2000;;
27281;26;BORA;TODOS OS MODELOS;2000...2010;;
27282;22;CORDOBA;TODOS OS MODELOS;1995...2004;;
27283;26;POLO CLASSIC;TODOS OS MODELOS;1996...1999;;
27284;17;O-370;FIXAÇÃO 309 / 309;...;;
27285;38;142;R;...;;FIXAÇÃO 556 / 251
27286;38;112;R;...;;FIXAÇÃO 556 / 251
27289;17;O-371;FIXAÇÃO 309 / 309;...;;TAMPA DO BAGAGEIRO
27292;121;ENCARROÇADORAS;;...;;TAMPA DO TANQUE DE ÓLEO
27293;121;ENCARROÇADORAS;;...;;TAMPA DO BAGAGEIRO / MOTOR  - CIA MANUFATUREIRA AUXILIAR -
27294;17;O-400;FIXAÇÃO 248 / 251;...;;
27295;5;BONANZA;SEM LIMPADOR TRASEIRO;1968...1995;;
27296;5;VERANEIO;SEM LIMPADOR TRASEIRO;1968...1995;;
27297;5;BONANZA;COM LIMPADOR TRASEIRO;1968...1995;;
27298;5;VERANEIO;COM LIMPADOR TRASEIRO;1968...1995;;
27301;42;JOURNEY;TODOS OS MODELOS;2009...;;
27302;10;FREEMONT;TODOS OS MODELOS;2011...;;
27305;13;SANTA FÉ;TODOS OS MODELOS;2007...;;
27307;18;PAJERO;DAKAR;2011...;;
27308;21;TWINGO;TODOS OS MODELOS;1993...2005;;
27309;21;KANGOO;TODOS OS MODELOS;1998...;;
27310;26;BRASILIA;;1973...1982;1600;
27311;26;FUSCA;;1969...1996;1200;
27312;26;FUSCA;;1969...1996;1300;
27313;26;FUSCA;;1969...1996;1500;
27314;26;FUSCA;;1969...1996;1600;
27315;26;VARIANT;;1969...1977;1600;
27316;26;KOMBI;TODOS OS MODELOS;1957...;;
27317;11;ROYALE;CONVENCIONAL;1991...1997;;
27318;11;VERSAILLES;SEM DIREÇÃO HIDRÁULICA;1992...1996;;
27319;26;GOL;GI / GII / GIII / GIV  -  SEM DIREÇÃO HIDRÁULICA;1980...;;
27320;26;PARATI;SEM DIREÇÃO HIDRÁULICA;1984...;;
27321;26;PASSAT;SEM DIREÇÃO HIDRÁULICA;1974...1988;;
27322;26;QUANTUM;SEM DIREÇÃO HIDRÁULICA;1985...2002;;
27323;26;SANTANA;SEM DIREÇÃO HIDRÁULICA;1984...2006;;
27324;26;SAVEIRO;SEM DIREÇÃO HIDRÁULICA;2000...2007;;
27325;26;VARIANT II;;1978...1981;1600;
27326;26;VOYAGE;SEM DIREÇÃO HIDRÁULICA;1981...1995;;
27327;5;CARAVAN;COM DIREÇÃO MECÂNICA;1968...1993;;
27328;5;OPALA;COM DIREÇÃO MECÂNICA;1968...1993;;
27329;11;ROYALE;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1991...1997;;
27330;11;VERSAILLES;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1992...1996;;
27331;26;GOL;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1980...2008;;
27332;26;PARATI;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1984...;;
27333;26;PASSAT;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1974...1988;;
27334;26;QUANTUM;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1985...2002;;
27335;26;SANTANA;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1984...2006;;
27336;26;SAVEIRO;GIII - OPCIONAL / SEM DIREÇÃO HIDRÁULICA;2000...2009;;
27337;26;VOYAGE;OPCIONAL / SEM DIREÇÃO HIDRÁULICA;1981...1995;;
27338;5;IPANEMA;COM DIREÇÃO MECÂNICA;1989...1998;;
27339;5;KADETT;COM DIREÇÃO MECÂNICA;1989...1998;;
27340;17;OM-370;FIXAÇÃO A/A;...;;
27341;17;OM-371;FIXAÇÃO A/A;...;;
27342;5;OMEGA;;1992...1998;3.0 / 4.1 - 6CC;
27343;5;SUPREMA;;1992...1998;3.0 / 4.1 - 6CC;
27346;10;147;EXCETO PICK-UP / FIORINO;1976...1987;;
27347;10;147;EXCETO PICK- UP / FIORINO;1976...1987;;
27348;10;147;PICK-UP - EXCETO FIORINO;1986...1987;;
27349;26;PASSAT;TODOS OS MODELOS;1974...1988;;
27350;26;GOL;TODOS - EXCETO FURGÃO;1980...1994;;
27351;26;PARATI;MODELOS ANTIGOS;1982...1996;;
27352;26;VOYAGE;;1981...1995;;
27353;26;GOL;(EXCETO GTI 2000 16V) - ATÉ 4ª GERAÇÃO;1995...2008;;
27354;26;PARATI;TODOS (EXCETO 2.0 16V / CROSSOVER);1996...2002;;
27356;26;QUANTUM;TODOS OS MODELOS;1985...2002;;
27357;26;SANTANA;TODOS OS MODELOS;1984...1990;;
27358;10;FIORINO;FURGÃO;1991...05.1994;;
27359;10;FIORINO;PICK-UP;1991...05.1994;;
27360;5;IPANEMA;TODOS OS MODELOS;1989...1998;;
27361;5;KADETT;EXCETO GSI / SPORT;1989...1998;;
27362;5;VECTRA;;1994...03.1996;8V;
27363;10;DUNA;;1993...1996;;
27364;10;ELBA;;1993...1996;;
27365;10;PREMIO;;1993...1995;;
27366;10;UNO;EXCETO R / TURBO;1993...07.1998;;
27367;26;GOL;FURGÃO - MODELOS ANTIGOS;1980...1994;;
27368;26;SAVEIRO;EXCETO GERAÇÃO 5;1982...2009;;
27369;26;GOL;RALLY 3ª GERAÇÃO / 4ª GERAÇÃO / TITAN;2001...2009;;
27370;26;GOL;TREND SPORT 4ª GERAÇÃO;2005...2009;;
27371;26;GOL;GTI;1996...2000;16V;
27372;26;PARATI;;1997...2001;2.0 16V;
27373;26;PARATI;CROSSOVER / TRACK-FILED / SURF / CITY;2002...2012;;
27380;17;1519;LS;1975...1987;;CAMINHÃO
27381;17;1520;LS;1987...1991;;CAMINHÃO
27382;17;1524;LS;1985...11.1987;;CAMINHÃO
27383;17;1525;LS;1987...11.1990;;CAMINHÃO
27384;38;B-110;SUSPENSÃO COM MOLA;1975...1983;;ÔNIBUS
27385;38;B-111;SUSPENSÃO COM MOLA;1975...1983;;ÔNIBUS
27386;38;BR-115;SUSPENSÃO COM MOLA;1975...1983;;ÔNIBUS
27387;38;BR-116;SUSPENSÃO COM MOLA;1975...1983;;ÔNIBUS
27388;38;L-111;SUSPENSÃO COM MOLA;1975...1983;;ÔNIBUS
27389;37;FORA DE ESTRADA;;1996...;;CAMINHÃO
27390;17;O-321;LP;1958...1971;;ÔNIBUS
27391;17;O-326;;1966...1974;;ÔNIBUS
27392;17;O-352;;1969...1971;;ÔNIBUS
27393;17;O-355;;1974...1979;;ÔNIBUS
27394;17;O-362;;1971...1979;;ÔNIBUS
27395;17;O-364;;1978...1987;;ÔNIBUS
27396;17;O-365;;1987...1990;;ÔNIBUS
27401;32;N-10;;1980...1983;;CAMINHÃO
27410;26;11.130;;1982...;;CAMINHÃO
27411;26;11.140;;1982...1989;;CAMINHÃO
27412;26;11.160;;1982...1986;;CAMINHÃO
27413;26;13.130;;1982...1987;;CAMINHÃO
27414;26;14.210;DISTÂNCIA ENTRE EIXOS 3560 MM;1980...1989;;CAMINHÃO
27415;32;B-58;3° EIXO;1980...1999;;ÔNIBUS
27416;17;1114;LK;1987...1989;;CAMINHÃO
27417;17;1313;L / LK;1975...1987;;CAMINHÃO
27418;17;1314;L / LK;1987...1991;;CAMINHÃO
27419;17;1316;L / LK;1975...1986;;CAMINHÃO
27420;17;1317;L / LK;1986...1987;;CAMINHÃO
27421;17;1318;L;1978...1983;;CAMINHÃO
27422;17;1319;L;1984...1986;;CAMINHÃO
27423;17;1418;K;1991...2002;;CAMINHÃO
27424;5;12000;;1996...2005;;CAMINHÃO
27425;5;13000;;1996...2005;;CAMINHÃO
27426;5;14000;;1996...2005;;CAMINHÃO
27427;5;19000;;1996...2005;;CAMINHÃO
27428;5;21000;;1996...2005;;CAMINHÃO
27429;5;22000;;1996...2005;;CAMINHÃO
27430;5;D-11000;;1996...2005;;CAMINHÃO
27433;38;S-112;SUSPENSÃO COM MOLA;1983...2009;;ÔNIBUS
27434;38;S-113;SUSPENSÃO COM MOLA;1983...2009;;ÔNIBUS
27435;38;K-112;SUSPENSÃO COM MOLA;1983...2009;;ÔNIBUS
27436;38;K-113;SUSPENSÃO COM MOLA;1983...2009;;ÔNIBUS
27440;17;O-370;U / UL / UP - URBANO / RODOVIÁRIO;1984...1992;;ÔNIBUS
27441;17;O-371;U / UL / UP - URBANO / RODOVIÁRIO;1987...1997;;ÔNIBUS
27442;17;O-400;U / UL / UP - URBANO / RODOVIÁRIO;1994...1999;;ÔNIBUS
27443;32;N-10;TODOS OS MODELOS;1984...1989;;CAMINHÃO
27444;32;N-12;TODOS OS MODELOS;1984...1989;;CAMINHÃO
27445;32;NL-10;TODOS OS MODELOS;1989...1992;;CAMINHÃO
27446;32;NL-12;TODOS OS MODELOS;1989...1992;;CAMINHÃO
27470;38;K-112;SUSPENSÃO A AR;1983...2000;;ÔNIBUS
27471;38;K-113;SUSPENSÃO A AR;1983...2000;;ÔNIBUS
27472;38;L-113;SUSPENSÃO A AR;1990...1998;;ÔNIBUS
27473;38;K-124;SUSPENSÃO A AR;1998...2009;;ÔNIBUS
27474;38;K-94;SUSPENSÃO A AR;1998...2009;;ÔNIBUS
27475;38;L-113;SUSPENSÃO A AR;1983...2000;;ÔNIBUS
27476;38;L-94;SUSPENSÃO A AR;1998...2009;;ÔNIBUS
27518;26;35.700;;2007...;;CAMINHÃO
27562;32;NL-10;COM MOLA PARABÓLICA;1993...2003;;CAMINHÃO
27563;32;NL-12;COM MOLA PARABÓLICA;1993...2003;;CAMINHÃO
27564;32;NL-10;TODOS OS MODELOS;1993...2003;;CAMINHÃO - COM MOLA PARABÓLICA
27565;32;NL-12;TODOS OS MODELOS;1993...2003;;CAMINHÃO - COM MOLA PARABÓLICA
27588;26;26.220;;1997...2010;;CAMINHÃO
27597;26;31.260;;1997...2010;;CAMINHÃO
27606;11;B-12000;;1993...1996;;
27607;11;B-1618;;1992...1998;;
27609;26;15.180;URBANO;2004...2007;;
27610;26;15.190;URBANO;2001...;;
27611;26;16.180;BETA - URBANO;1998...;;
27612;26;16.210;;1997...2002;;
27613;26;17.210;BETA;2001...2007;;
27614;26;17.230;BETA - URBANO;2006...;;
27615;26;17.230;EOD;2006...;;
27616;26;15.180;RODOVIÁRIO / URBANO;2004...2007;;
27617;26;15.190;RODOVIÁRIO / URBANO;2001...;;
27618;26;16.180;BETA - RODOVIÁRIO / URBANO;1998...;;
27619;26;17.230;;2006...;;
27620;17;O-371;COM MOLA HELICOIDAL;1987...1997;;
27621;32;B-58;SUSPENSÃO A AR;1980...1999;;
27622;32;B-10;M;1986...2006;;
27623;32;B-10;R;1986...2006;;
27624;32;B-10;M;1994...2009;;
27625;32;B-10;R;1994...2009;;
27626;32;B-12;B;1994...2009;;
27627;32;B-12;M;1994...2009;;
27628;32;B-12;R;1994...2009;;
27629;32;B-10;M;1994...2006;;
27630;32;B-10;R;1994...2006;;
27631;17;OF-1113;SUSPENSÃO REFORÇADA;1982...1987;;
27632;17;OF-1114;SUSPENSÃO REFORÇADA;1987...1989;;
27633;17;OF-1313;;1975...1987;;
27634;17;OF-1314;;1987...1988;;
27635;17;OF-1315;SUSPENSÃO REFORÇADA;1981...1993;;
27636;17;OF-1316;SUSPENSÃO REFORÇADA;1970...2006;;
27637;17;OF-1318;SUSPENSÃO REFORÇADA;1989...1998;;
