id;pai_id;nivel;nome;caminho;ordem
1;;1;Motor;Motor;1
2;1;2;Bloco do Motor e Componentes Internos;Motor > Bloco do Motor e Componentes Internos;2
3;2;3;Bloco do Motor;Motor > Bloco do Motor e Componentes Internos > Bloco do Motor;3
4;2;3;Virabrequim e Bronzinas;Motor > Bloco do Motor e Componentes Internos > Virabrequim e Bronzinas;4
5;2;3;Bielas e Pistões;Motor > Bloco do Motor e Componentes Internos > Bielas e Pistões;5
6;2;3;Anéis de Segmento;Motor > Bloco do Motor e Componentes Internos > Anéis de Segmento;6
7;2;3;Camisas de Cilindro;Motor > Bloco do Motor e Componentes Internos > Camisas de Cilindro;7
8;1;2;Cabeçote e Componentes;Motor > Cabeçote e Componentes;8
9;8;3;Cabeçote;Motor > Cabeçote e Componentes > Cabeçote;9
10;8;3;Válvulas (Admissão, Escape);Motor > Cabeçote e Componentes > Válvulas (Admissão, Escape);10
11;8;3;Comandos de Válvulas;Motor > Cabeçote e Componentes > Comandos de Válvulas;11
12;8;3;Tuchos e Balancins;Motor > Cabeçote e Componentes > Tuchos e Balancins;12
13;8;3;Juntas de Cabeçote;Motor > Cabeçote e Componentes > Juntas de Cabeçote;13
14;1;2;Sistema de Lubrificação;Motor > Sistema de Lubrificação;14
15;14;3;Bomba de Óleo;Motor > Sistema de Lubrificação > Bomba de Óleo;15
16;14;3;Filtro de Óleo;Motor > Sistema de Lubrificação > Filtro de Óleo;16
17;14;3;Cárter;Motor > Sistema de Lubrificação > Cárter;17
18;14;3;Sensores de Óleo (Nível, Pressão);Motor > Sistema de Lubrificação > Sensores de Óleo (Nível, Pressão);18
19;1;2;Sistema de Alimentação (Combustível);Motor > Sistema de Alimentação (Combustível);19
20;19;3;Bomba de Combustível (Elétrica, Mecânica);Motor > Sistema de Alimentação (Combustível) > Bomba de Combustível (Elétrica, Mecânica);20
21;19;3;Filtro de Combustível;Motor > Sistema de Alimentação (Combustível) > Filtro de Combustível;21
22;19;3;Bicos Injetores/Carburador;Motor > Sistema de Alimentação (Combustível) > Bicos Injetores/Carburador;22
23;19;3;Tanque de Combustível;Motor > Sistema de Alimentação (Combustível) > Tanque de Combustível;23
24;19;3;Sensores (Boia, Fluxo de Ar - MAF);Motor > Sistema de Alimentação (Combustível) > Sensores (Boia, Fluxo de Ar - MAF);24
25;19;3;Corpo de Borboleta (TBI);Motor > Sistema de Alimentação (Combustível) > Corpo de Borboleta (TBI);25
26;1;2;Sistema de Ignição;Motor > Sistema de Ignição;26
27;26;3;Velas de Ignição;Motor > Sistema de Ignição > Velas de Ignição;27
28;26;3;Cabos de Vela;Motor > Sistema de Ignição > Cabos de Vela;28
29;26;3;Bobinas de Ignição;Motor > Sistema de Ignição > Bobinas de Ignição;29
30;26;3;Módulo de Ignição/Distribuidor;Motor > Sistema de Ignição > Módulo de Ignição/Distribuidor;30
31;1;2;Superalimentação (Turbo/Compressor);Motor > Superalimentação (Turbo/Compressor);31
