id;nome;latitude;longitude;logradouro;numero;complemento;bairro;cidade;cep;uf;contato;email;telefone
1;BERONHA AUTOPEÇAS;-24.1101606;-49.3261614;RUA PRIMEIRO DE MAIO;485;;VILA OSÓRIO;ITARARÉ;18460000;SP;VAGNER;beronha01@hotmail.com;1535322678
2;TRAMWAY AUTOPEÇAS;-23.4616438;-46.5767876;RUA ABÍLIO PEDRO RAMOS;422;;JAÇANÃ;SÃO PAULO;2279000;SP;CARLOS;vendas@tramwayautopecas.com.br;1122411159
3;AUTO BARRA PEÇAS;-18.7552682;-40.8816192;AVENIDA PRESIDENTE CASTELO BRANCO;1203;;VILA LANDINHA;BARRA DE SÃO FRANCISCO;29800000;ES;ADENILSON;autobarra.mecanica@hotmail.com;2737562467
4;CENTRO AUTOMOTIVO KIGUI;-12.1429533;-44.9836526;AVENIDA ANTÔNIO CARLOS MAGALHAES;1401;;CENTRO;BARREIRAS;47800000;BA;FERNANDO;diretoria@cakautocenter.com.br;7736117271
5;ELBRAS AUTOPEÇAS;-23.4506359;-46.7354708;ESTRADA DAS TAIPAS;629;;JARAGUÁ;SÃO PAULO;2991000;SP;MARCELO;macripecas@terra.com.br;1121854900
6;PRIMO AUTOPEÇAS;-23.0295118;-45.5613909;RUA DOUTOR EMÍLIO WINTHER;334;;CENTRO;TAUBATÉ;12030000;SP;WASHINGTON;wfreitasinfinito@gmail.com;1221235800
7;GALIZÉ AUTOPEÇAS;-21.1404333;-48.9741729;RUA BRASIL;1655;;CENTRO;CATANDUVA;15800030;SP;MARCOS;autopecasgalize@yahoo.com.br;1735226306
8;NOSSO CARRO AUTOPEÇAS;-3.0931466;-59.9517955;AVENIDA AUTAZ MIRIM;7864;;TANCREDO NEVES;MANAUS;69087215;AM;ELEXSANDRO;ssautopecasltda@gmail.com;9236446779
9;PERONI AUTOPEÇAS;-19.3894012;-40.0667078;AVENIDA BARRA D ESÃO FRANCISCO;531;;SHELL;LINHARES;29901530;ES;VITOR;peronipecas@peroniautopecas.com.br;2733710995
10;MONTINIMOTOS;-23.9520379;-46.3287857;RUA DOUTOR CARVALHO DE MENDONÇA;147;;VILA BELMIRO;SANTOS;11070000;SP;ROGÉRIO;lcmontini@yahoo.com.br;1332342032
11;PITT AUTOPEÇAS;-22.1353146;-51.3893835;AVENIDA BRASIL;2392;;JARDIM BELA DARIA;PRESIDENTE PRUDENTE;19013001;SP;MÁRIO;pitstoppecas@hotmail.com;1832215014
12;JOSÉ AMÉRICO;-21.3944606;-42.6930159;RUA JOÃO PESSOA;45;;VILATEREZA;CATAGUASES;36772020;MG;FABÍOLA;atendimento.joseamerica@gmail.com;3234214788
13;AUTOPEÇAS SÃO GERALDO;-17.7255776;-48.1620432;AVENIDA BARÃO DO RIO BRANCO;56;;CENTRO;IPAMERI;75780000;GO;HUGO;autopecassaogeraldo@hotmail.com.;6434911162
14;GENERAL AUTOPEÇAS;-20.5360569;-47.4080148;RUA GENERAL TELLES;773;;HIGIENÓPOLIS;FRANCA;14405090;SP;ÉDER;general@com4.com.br;1637120800
15;GENERAL AUTOPEÇAS;-20.5733397;-47.3767650;AVENIDA  MAGISTRADO RENATO SALLES ABREU;714;;PROLONGAMENTO JARDIM AEROPORTO;FRANCA;14404090;SP;ÉDER;general@com4.com.br;1637126800
16;CENTRO AUTOMOTIVO SALES;-19.9381113;-40.5944174;AVENIDA RICARDO PASOLI;328;;CENTRO;SANTA TERESA;29650000;ES;MIGUEL;said@saort.com.br;2732592101
17;CENTRO AUTOMOTIVO SALES;-19.7463513;-40.6582318;AVENIDA CATARINA GUIDONI VOLPI;3000;LOJA B;SÃO BENTO;SÃO ROQUE DO CANAÃ;29665000;ES;MIGUEL;centroautomotivo.src@gmail.com;2737291373
18;CENTRO AUTOMOTIVO SALES;-20.2270805;-40.3648735;RODOVIA GOVERNADOR MARIO COVAS;282;;ROSARIO DE FATIMA;SERRA;29161160;ES;MIGUEL;said@saort.com.br;2730227902
19;DISTRIBUIDORA TRIANGULO DE PEÇAS;-18.9143943;-48.2932997;AVENIDA FERNANDO VILELA;1940;;MARTINS;UBERLÂNDIA;38400458;MG;CELSOBRITO;triangpecas@hotmail.com;(34)3236-2408
20;AUTOPEÇAS PARANAVAÍ;-23.0818624;-52.4486870;AVENIDA PARANÁ;1327;;JARDIM AMÉRICA;PARANAVAÍ;87705190;PR;FABIANO;fabiano.iglesias@uol.com.br;4434223530
21;RODRIGUES DIESEL;-24.7303729;-48.1002038;AVENIDA ADOLFO MUNIZ;160;;VILA VITÓRIA;CAJATI;11950000;SP;FELIPE;rodriguesdiesel@hotmail.com;1338541450
22;PARANA AUTOPEÇAS;-18.6504575;-48.1855800;AVENIDA MINAS GERAIS;1204;;CENTRO;ARAGUARI;38440042;MG;DIOMEDES;soniascharf1@hotmail.com;3432422402
23;ALEX AUTOPEÇAS;-23.3953638;-46.3259394;AVENIDA JOÃO MANOEL;317;;CENTRO;ARUJÁ;7400605;SP;ALEX;alexautopecas.aruja@gmail.com;1146550493
24;SEMAR AUTOPEÇAS;-18.9388078;-48.3083172;AVENIDA DO CARPINTEIRO;142;;PLANALTO;UBERLÂNDIA;38413177;MG;CELSO;celsovini@hotmail.com;3432574126
