id;nome;e_marca_peca;e_montadora
2;ALFA ROMEO;0;1
3;ASIA MOTORS;0;1
4;AUDI;0;1
5;CHEVROLET;0;1
6;CHRYSLER;0;1
7;CITROEN;0;1
8;DAEWOO;0;1
9;ENGESA;0;1
10;FIAT;0;1
11;FORD;0;1
12;HONDA;0;1
13;HYUNDAI;0;1
14;IVECO;0;1
15;KIA MOTORS;0;1
16;LAND ROVER;0;1
17;MERCEDES-BENZ;0;1
18;MITSUBISHI;0;1
19;NISSAN;0;1
20;PEUGEOT;0;1
21;RENAULT;0;1
22;SEAT;0;1
23;SUZUKI;0;1
24;TOYOTA;0;1
25;TROLLER;0;1
26;VOLKSWAGEN;0;1
27;BMW;0;1
28;MAZDA;0;1
29;GURGEL;0;1
30;PUMA;0;1
31;ORIGINAL;1;0
32;VOLVO;0;1
33;SUBARU;0;1
34;AGRALE;0;1
35;IMPLEMENTOS RODOVIÁRIOS;0;1
36;INTERNATIONAL;0;1
37;RANDON;0;1
38;SCANIA;0;1
39;JAC MOTORS;0;1
40;ENCARROÇADORAS;0;1
41;REGISTRO;0;1
42;DODGE;0;1
43;CHERY;0;1
44;ISUZU;0;1
45;JEEP;0;1
46;SSANGYONG;0;1
48;MONROE;1;0
49;NAKATA;1;0
50;KYB;1;0
51;LUK;1;0
52;SACHS;1;0
53;SKF;1;0
54;TRW;1;0
55;AFFINIA;1;0
56;VIEMAR;1;0
57;GRARRO;1;0
58;GRAZZIMETAL;1;0
59;SAMPEL;1;0
60;MOBENSANI;1;0
61;HAIRAM;1;0
62;KIT & CIA;1;0
63;AXIOS;1;0
64;BORFLEX;1;0
65;VIBRASIL;1;0
66;GETOFLEX;1;0
67;SPICER;1;0
68;FABRINI;1;0
69;APLIPERTI;1;0
70;FRASLE;1;0
71;COBREQ;1;0
72;BENDIX;1;0
73;SYL;1;0
74;MAN;0;1
75;SABÓ;1;0
76;IMA;1;0
78;MINI;0;1
79;DAF;0;1
80;PERFECT;1;0
81;DRIVEWAY;1;0
82;CINDUMEL;1;0
83;IBERO;0;1
84;LIFAN;0;1
86;INFINITI;0;1
87;CHANA;0;1
88;DONGFENG;0;1
89;EFFA;0;1
90;RELY;0;1
91;HAFEI;0;1
92;COBREC;1;0
93;FRAS-LE;1;0
94;SUPORTE REI;1;0
95;MARCOPOLO;0;1
96;DIVERSAS;0;1
97;MAFERSA;0;1
98;HIPPER;1;0
99;PORSCHE;0;1
100;REGISTRO INMETRO;1;0
101;ALBARUS;1;0
102;-;0;1
103;INMETRO;1;0
104;JAGUAR;0;1
105; CAIO;0;1
106;PYSKO;1;0
107;ALIPERTI;1;0
108;DAILY;0;1
109;MERCEDES BENZ;0;1
110;KIA;0;1
111;NK;1;1
112;CAIO;0;1
113;CIFERAL;0;1
114;BFX;1;0
115;SMART;0;1
116;HIPPER FREIOS;1;0
117;ACURA;0;1
118;MASERATI;0;1
119;NEOPLAN;0;1
120;FOTON;0;1
121;CMA;0;1
122;IRIZAR;0;1
123;NOMA;0;1
124;NIELSON;0;1
125;NEOBUS;0;1
126;FAW;0;1
127;COMIL;0;1
128;FNA;1;0
129;SKODA;0;1
130;RANGE ROVER;0;1
131;FACCHINI;0;1
132;LEXUS;0;1
133;CONTITECH;1;0
134;GUERRA;0;1
135;BYD;0;1
136;RAM;0;1
137;GWM;0;1
138;KLL;0;1
139;IRB;1;0
140;SUSPENTECH;1;0
141;BINS;1;0
142;JUMIL;0;1
143;STARA;0;1
144;JACTO;0;1
145;RECRUSUL;0;1
146;CÓDIGO ANTIGO;1;0
147;SUSPENSYS;0;1
148;FIRESTONE;1;0
149;GOODYEAR;1;0
150;JURID;1;0
151;WILLTEC;1;0
152;ORIGINALL PARTS;1;0
153;JOHN DEERE;0;1
154;BILSTEIN;1;0
155;JAECOO;0;1
