id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
2;GL12475;GL12475;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GL12475.jpg;;;; GL12475 AMORTECEDOR 021/2013 212013 27016 334016MM 344115 4167/2012 41672012 46436110 46809960 GL12594 HG 31038 HG31038 ALFA ROMEO FIAT 145 155 BRAVA COUPE MAREA MAREA WEEKEND PALIO WEEKEND ADVENTURE RST I / II TREKKING RST I / II / III / TREKKING  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 46436110 MONROE 27016 NAKATA HG 31038 KYB 344115 ORIGINAL 46809960 MONROE 334016MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012 CODIGO ANTIGO GL12594
3;B.47069;B47069;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;B.47069.jpg;;;; B.47069 B47069 AMORTECEDOR 021/2013 212013 334110MM 344302 38110 4167/2012 41672012 444162 AC 30766 AC30766 NK71E-34-700 NK71E34700 ASIA MOTORS KIA MOTORS BESTA EXCETO GS TOPIC  AMORTECEDOR SUPER DIANTEIRA ORIGINAL NK71E-34-700 MONROE 38110 NAKATA AC 30766 KYB 444162 KYB 344302 MONROE 334110MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
4;L.12129;L12129;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.12129.JPG;;;; L.12129 L12129 AMORTECEDOR 021/2013 212013 38112 4167/2012 41672012 AC 30783 AC30783 ASIA MOTORS TOPIC  AMORTECEDOR SUPER TRASEIRA MONROE 38112 NAKATA AC 30783 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
5;B.47776;B47776;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47776.JPG;;;; B.47776 B47776 AMORTECEDOR 021/2013 212013 334061MM 38061 4167/2012 41672012 AA11028700B AC 30824 AC30824 ASIA MOTORS TOWNER PANEL VAN / GLASS VAN / COACH FULL  AMORTECEDOR SUPER TRASEIRA ORIGINAL AA11028700B MONROE 38061 NAKATA AC 30824 MONROE 334061MM REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
6;B.47777;B47777;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.47777.JPG;;;; B.47777 B47777 AMORTECEDOR 021/2013 212013 4167/2012 41672012 AA10028700B AC 30832 AC30832 ASIA MOTORS TOWNER TRUCK  AMORTECEDOR SUPER TRASEIRA ORIGINAL AA10028700B NAKATA AC 30832 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 4167/2012
7;16520;16520;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;16520.JPG;;;; 16520 MOLA A GAS AUDI A3 TODOS OS MODELOS  MOLA A GAS MOLA A GAS PORTA MALAS 
8;MGC16645;MGC16645;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;mgc16645.jpg;;;; MGC16645 MOLA A GAS MG 17058 MG17058 AUDI VOLKSWAGEN A3 BORA GOLF IV GERACAO POLO HATCH  MOLA A GAS MOLA A GAS CAPO DO MOTOR NAKATA MG 17058
9;GB27395;GB27395;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB27395.jpg;;;; GB27395 AMORTECEDOR 011021/2023 110212023 021/2013 212013 1894/2013 18942013 1956/2018 19562018 1JO413025BG 27166 343280 4167/2012 41672012 6979/2016 69792016 HG 31040 HG31040 SP166 AUDI VOLKSWAGEN A3 EXCETO TIPTRONIC / TURBO BORA GOLF SERIE 4 / 5 - EXCETO TIPTRONIC E TURBO JETTA IV NEW BEETLE  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 1JO413025BG MONROE 27166 NAKATA HG 31040 KYB 343280 MONROE SP166 REGISTRO INMETRO 021/2013 REGISTRO INMETRO 1894/2013 REGISTRO INMETRO 1956/2018 REGISTRO INMETRO 4167/2012 REGISTRO INMETRO 6979/2016 REGISTRO INMETRO 011021/2023
10;GP32477;GP32477;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP32477.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO SPA CÓDIGO SGP32477; GP32477 AMORTECEDOR 023/2013 232013 127/2013 1272013 1904/2018 19042018 1JO413031AG 27154 3348031 334812 4166/2012 41662012 4169/2012 41692012 HG 33009 HG33009 SP154 AUDI VOLKSWAGEN A3 EXCETO TIPTRONIC / TURBO BORA GOLF SERIE 4 / 5 - EXCETO TIPTRONIC E TURBO JETTA IV NEW BEETLE  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL 1JO413031AG MONROE 27154 NAKATA HG 33009 KYB 334812 MONROE SP154 REGISTRO INMETRO 023/2013 REGISTRO INMETRO 127/2013 REGISTRO INMETRO 1904/2018 REGISTRO INMETRO 4166/2012 REGISTRO INMETRO 4169/2012 KYB 3348031
11;17997M;17997M;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;PORTA MALAS;;17997m.JPG;;;; 17997M MOLA A GAS AUDI VOLKSWAGEN A4 TODOS OS MODELOS BORA  MOLA A GAS MOLA A GAS PORTA MALAS 
