produto_id;aplicacao_id
7108;39261
7108;39262
7108;42598
7108;42599
7108;42600
7109;28328
7109;28707
7109;42202
7109;28708
7109;28709
7109;28710
7109;28711
7109;28343
7109;28712
7109;28713
7109;28330
6310;43372
6310;43373
6310;43374
6310;43375
7110;43376
7111;43377
7112;40167
7112;43378
7113;40167
7113;43378
7114;43379
7115;43379
7116;43380
7116;43381
7117;43382
7118;38473
7119;43383
7119;43384
7120;43385
7121;43386
7121;43387
7121;43388
7121;43389
7121;43390
7121;43391
7121;43392
7121;43393
7122;43394
7122;43395
7122;43396
7122;43397
7122;43398
7122;43399
7123;43400
7123;43401
7124;43402
7124;43403
7124;43404
7125;43405
7125;43406
7125;43407
7125;43408
7125;43409
7126;43410
7126;43411
7127;43412
7127;43413
7127;43414
7128;43415
7129;43416
7131;43420
7131;43421
7132;43422
7133;43423
7134;43424
7135;43425
7136;43426
7137;43427
7137;43428
7138;43429
7139;43430
7140;43430
7141;43431
7141;43432
7141;43433
7143;41021
7144;43435
7145;43435
7146;41754
7147;41768
7148;43436
7148;43437
7148;43438
7149;43436
7149;43437
7149;43438
7150;43439
7152;38948
7152;38949
7152;38950
7153;38957
7153;38958
7154;43441
7156;43444
7157;43445
7158;43445
7159;43446
7159;43447
7159;43448
7159;43449
7159;43450
7159;43451
7159;43452
7159;43453
7159;43454
7160;43455
7160;43456
7161;43457
7162;43458
7162;43459
7163;43460
5970;43461
5970;43462
6083;43461
6083;43462
6084;43461
6084;43462
7155;43463
7155;43464
7051;43465
7051;43466
3683;43467
3683;43468
3684;43467
3684;43468
7164;42118
7164;42119
7164;42120
7164;42121
7164;42122
7164;42123
7164;42124
7164;42125
7164;42126
7164;42127
7164;42128
7164;42129
7165;43469
3791;40625
3792;40625
265;31074
7167;42601
7167;43470
7167;28994
7166;41370
7166;41371
7166;41372
7166;41373
7166;41374
7166;41375
7166;41376
7166;41377
7166;41187
7166;41378
7166;41379
7166;41380
2;28244
2;28248
2;31091
2;31092
2;31093
2;31094
2;31096
2;40610
3;27992
3;27993
4;27992
5;28081
6;28082
7;27223
8;30178
8;33681
8;33682
8;33683
9;30761
9;30762
9;30763
9;30764
9;30765
10;30761
10;30762
10;30763
10;30764
10;30765
11;27280
11;27281
13;32936
13;32937
13;32954
13;32955
13;32956
13;32957
15;32954
15;32955
15;32957
15;36459
15;36460
15;36461
17;32722
17;32723
17;32724
18;32725
18;32726
18;32727
19;32884
19;32885
19;32886
19;32887
20;32884
20;32885
20;32887
21;32725
21;32726
21;32727
23;29401
24;31226
25;33662
26;30746
27;30743
27;30744
27;30745
27;30872
28;31058
29;31058
30;31058
33;27177
33;27178
35;31100
35;31101
36;31106
37;31107
37;31108
39;32882
40;32883
41;27295
41;27296
42;27297
42;27298
43;29557
43;29558
43;29559
43;29560
43;29561
43;29562
44;32692
44;32693
45;32699
45;32700
46;32699
46;32700
47;32692
47;32958
48;29559
48;33875
48;33876
48;33877
48;33878
49;32980
49;32981
50;32998
50;32999
50;33000
51;27227
52;27227
53;31148
54;27327
54;27328
55;28005
55;28006
56;28005
56;28006
57;30868
57;30869
58;30868
58;30869
59;28005
59;28006
60;28005
60;28006
62;27989
62;27990
62;40586
62;41806
63;27989
63;27990
63;30865
63;30866
63;40586
63;41806
64;27988
64;27990
64;31221
64;31222
64;40586
65;27988
65;27990
65;31221
65;40586
66;43251
67;28010
68;28007
68;28022
68;28023
69;28023
70;28022
70;28023
71;28023
72;28010
73;28008
74;28008
75;33655
76;27184
77;27219
1912;43487
1912;43488
1912;43489
6532;43652
78;31215
79;31215
80;28542
81;28542
82;28542
84;28542
85;31077
86;31077
87;31077
89;27142
90;27338
90;27339
91;27360
91;27361
92;27360
93;27360
93;33193
93;42575
94;28688
95;27141
96;41598
97;33641
98;28041
99;28079
100;28079
101;28041
102;28007
103;27182
104;31076
105;31076
106;31076
108;42177
110;31218
111;31218
112;41612
112;41613
112;41614
114;27140
115;41974
116;28012
117;28058
120;36464
122;27342
122;27343
123;28073
124;27342
125;27342
125;31056
126;28073
126;28541
127;30776
127;30777
127;30778
127;30779
127;40847
128;31080
129;31081
130;31089
131;37809
132;37810
133;37811
134;37812
135;32712
137;31081
139;31081
140;31089
141;32722
141;32723
141;32724
141;38150
141;42688
142;40854
145;28541
146;31056
148;31054
148;31055
149;31054
149;31055
150;27233
151;27234
152;27235
153;27362
154;27362
155;30743
156;30754
157;31065
158;31068
159;30754
160;30754
161;31294
162;31294
163;31295
164;31295
165;31065
166;31065
167;32694
168;27181
169;28330
170;28330
171;28330
172;31087
173;40848
174;40740
176;30769
177;27269
178;27269
179;38108
179;38109
180;27309
181;27193
181;30867
182;27193
182;31292
182;31293
183;27193
183;31292
183;31293
184;27187
184;27188
185;30770
186;30770
187;30770
188;30768
189;30768
190;30768
191;41850
191;41913
191;41914
192;40946
193;31146
193;31147
194;31146
194;31147
195;31146
195;31147
196;39828
196;42925
196;42926
197;31116
197;31117
197;39828
198;39947
199;39947
200;27194
201;27203
204;32800
205;27136
206;27346
207;27347
208;27348
209;27348
210;27253
211;27213
212;31278
212;31279
212;38014
213;27248
214;27248
215;30909
216;31297
217;31301
218;30693
219;31143
220;30693
221;31143
222;31097
223;31097
225;27363
225;27364
225;27365
225;27366
226;33879
226;33880
227;33894
227;33895
227;33896
228;33894
228;33897
229;30347
229;33889
229;33890
229;33902
230;30347
230;33889
230;33890
230;33902
231;27363
231;27364
231;27365
231;27366
232;27363
232;27364
232;27365
232;27366
233;41583
234;41584
235;27358
235;27359
236;30738
236;30739
237;30740
238;30740
239;30738
239;30739
241;33898
241;33899
242;27358
242;27359
243;33900
243;33901
245;27254
246;28265
247;39263
248;30892
249;30892
250;30896
251;30896
252;27237
252;37704
253;42108
254;42108
255;31271
255;31272
255;38012
255;38013
256;31280
256;31281
257;27279
258;40409
259;30919
261;40106
262;27196
262;27197
262;40314
262;40315
264;30741
264;30742
265;31059
265;31060
266;31207
266;31208
266;31209
266;31210
267;31211
267;31212
267;31213
267;31214
268;31273
268;31274
268;31275
269;40849
269;40850
270;27199
270;27200
270;41975
270;41976
271;31149
272;31219
272;31220
273;40914
273;40915
273;40916
273;40917
274;31276
274;31277
278;30747
281;30916
281;30917
281;30918
282;40594
282;40595
283;40594
283;40595
284;30916
284;30917
284;30918
284;37713
284;37714
285;30916
285;30917
285;30918
285;37713
285;37714
289;31074
291;42262
291;42263
291;42264
292;31282
294;30748
295;31085
296;31206
297;30748
298;31150
299;30732
300;30732
301;30736
301;30737
302;30736
302;30737
303;30749
304;30749
305;31082
305;40608
308;31082
308;40608
309;30736
309;30737
310;30736
310;30737
316;40146
317;40146
318;33881
319;33887
320;33887
323;30347
323;33889
323;33890
323;39257
324;30347
7166;41381
324;33889
324;33890
324;39257
327;28025
327;28026
327;28027
327;28028
329;28025
329;28038
329;36290
329;36291
329;36292
329;36293
330;28025
330;32812
331;28036
331;28037
331;28038
333;31110
334;28026
334;32813
335;28037
335;32844
336;28037
336;32844
336;36293
337;28026
337;32813
338;31057
339;31057
339;40614
341;30871
342;28038
343;28038
345;30767
346;38300
347;41582
348;33643
349;33644
350;33646
351;41587
352;40402
353;30873
353;30874
353;30875
353;30876
354;40408
355;30885
356;31194
356;31195
357;30885
357;40416
358;30873
358;30874
358;30875
358;31270
359;27148
359;33882
359;33883
359;33884
359;33885
360;27148
360;33882
360;33884
360;33885
360;33886
361;27148
361;33885
361;39275
362;27148
362;33885
362;39275
363;31079
363;40607
364;40607
365;40609
366;31079
366;31086
367;31111
368;31111
369;40860
370;32814
371;40860
372;31079
372;31086
373;40609
374;32814
375;29563
376;31104
377;40611
378;36455
378;36456
378;36457
379;27160
379;27161
381;27209
381;27210
382;38260
382;38261
383;38157
383;38158
384;30891
385;38157
385;38158
385;38159
386;31223
387;27211
390;30760
391;30760
392;30760
393;27225
394;40801
395;33001
398;30860
399;30878
400;31200
401;31359
402;31098
403;31099
404;31109
405;32729
406;32730
407;32821
408;32729
409;32730
410;31161
411;42500
412;31084
413;31161
414;33653
414;33654
415;27316
416;27329
416;27330
416;27331
416;27332
416;27333
416;27334
416;27335
416;27336
416;27337
417;27356
417;30733
417;30734
417;30735
418;27356
418;30733
418;31191
420;27317
420;27318
420;27319
420;27320
420;27321
420;27322
420;27323
420;27324
420;27325
420;27326
421;30734
421;31190
422;30734
422;33128
425;30861
428;30861
429;31363
430;31363
7166;41382
431;30864
432;30864
433;27238
434;31053
435;31053
436;31053
437;33659
438;29976
440;29976
441;38176
443;28089
444;28089
445;27986
446;28147
447;27240
448;31047
449;31047
450;31047
451;28933
451;31358
452;31360
452;31361
453;31360
453;31361
455;27993
456;30898
457;30899
458;30898
458;30899
459;28141
461;27247
462;27241
463;39240
464;27222
465;29566
465;29567
469;27252
470;42023
470;42024
470;42025
470;42026
470;42027
471;27987
472;28094
473;28095
474;28106
474;28107
474;28108
475;28113
476;28113
477;27987
478;28106
479;39473
480;39473
481;27207
483;28977
483;30888
484;30915
485;31061
486;31102
487;30915
488;28977
488;37989
489;30886
490;30887
491;30886
492;30887
492;30890
493;27255
494;27221
495;30890
496;27189
496;27190
497;27201
497;38064
497;38065
498;27201
498;27202
499;31064
500;31072
500;31217
501;31072
501;31217
502;31072
502;31073
503;27205
507;31069
507;31070
507;42571
508;31069
508;31070
508;43213
509;31069
509;31070
509;43213
510;31066
511;31066
512;31066
513;27212
514;27191
514;27192
515;31071
516;31071
517;31071
518;27175
518;41606
518;41607
519;30883
519;40473
519;40474
519;40475
520;40474
521;30883
521;40282
522;27258
522;27259
523;27258
525;33893
526;38082
526;38097
527;38082
527;38093
528;31130
529;31131
529;31132
530;31131
531;27220
