produto_id;arvore_id;regra_id
2;110;7
3;101;6
4;110;7
5;110;7
6;110;7
7;171;9
8;168;8
9;110;7
10;101;6
11;171;9
13;101;6
15;101;6
17;110;7
18;110;7
19;110;7
20;110;7
21;110;7
23;110;7
24;101;6
25;171;9
26;101;6
27;110;7
28;110;7
29;101;6
30;101;6
35;101;6
36;101;6
37;101;6
38;110;7
39;101;6
40;101;6
41;171;9
42;171;9
44;101;6
45;101;6
46;110;7
47;110;7
48;193;11
49;110;7
50;101;6
51;168;8
52;171;9
53;110;7
55;101;6
56;110;7
57;101;6
58;110;7
59;101;6
60;110;7
62;110;7
63;110;7
64;101;6
65;101;6
66;171;9
67;110;7
68;101;6
69;110;7
70;101;6
71;110;7
72;110;7
73;110;7
74;101;6
75;171;9
76;171;9
77;171;9
78;101;6
79;101;6
80;110;7
81;110;7
82;101;6
84;101;6
85;110;7
86;101;6
87;101;6
89;171;9
91;101;6
92;110;7
93;101;6
94;110;7
95;171;9
96;171;9
97;171;9
98;110;7
99;110;7
100;110;7
101;110;7
102;110;7
103;171;9
104;110;7
105;101;6
106;101;6
108;110;7
110;101;6
111;101;6
112;101;6
114;171;9
115;101;6
116;110;7
117;110;7
118;101;6
120;110;7
123;110;7
124;110;7
125;101;6
126;101;6
127;110;7
128;101;6
129;101;6
130;110;7
131;101;6
132;101;6
133;110;7
134;110;7
135;101;6
137;101;6
139;101;6
140;110;7
141;101;6
142;110;7
145;110;7
146;110;7
148;110;7
149;101;6
150;168;8
151;171;9
152;171;9
153;101;6
154;110;7
155;101;6
156;110;7
157;110;7
158;110;7
159;101;6
160;101;6
161;101;6
162;101;6
163;101;6
164;101;6
165;101;6
166;101;6
167;110;7
168;171;9
169;110;7
170;101;6
171;101;6
172;110;7
173;101;6
174;101;6
176;110;7
177;101;6
178;101;6
179;171;9
180;171;9
181;110;7
182;101;6
183;101;6
184;171;9
185;110;7
186;101;6
187;101;6
188;110;7
189;101;6
190;101;6
191;171;9
192;171;9
193;110;7
194;101;6
195;101;6
196;110;7
197;101;6
198;101;6
199;101;6
200;171;9
201;171;9
204;101;5
204;110;5
205;171;9
206;101;6
207;110;7
208;101;6
209;110;7
210;171;9
211;171;9
212;101;6
213;168;8
214;171;9
215;110;7
216;101;6
217;101;6
218;110;7
219;110;7
220;101;6
221;101;6
222;110;7
223;101;6
225;110;7
226;101;6
227;101;6
228;110;7
229;101;6
230;110;7
231;101;6
232;110;7
233;171;9
234;171;9
235;101;6
236;101;6
237;101;6
238;110;7
239;110;7
241;110;7
242;110;7
243;101;6
245;171;9
246;110;7
247;171;9
248;110;7
249;101;6
250;110;7
251;101;6
252;171;9
253;101;6
254;101;6
255;101;6
256;101;6
257;171;9
258;110;7
259;110;7
261;110;7
262;171;9
264;101;6
265;110;7
266;101;6
267;101;6
268;101;6
269;101;6
270;171;9
271;110;7
272;101;6
273;101;6
274;101;6
278;101;6
280;110;7
281;110;7
282;101;6
283;101;6
284;101;6
285;101;6
289;101;6
291;110;7
292;101;6
294;101;6
295;110;7
296;101;6
297;101;6
298;110;7
299;101;6
300;110;7
301;101;6
302;110;7
303;101;6
304;110;7
305;110;7
308;101;6
309;101;6
310;110;7
316;101;6
317;101;6
318;110;7
319;101;6
320;110;7
