id;produto_id;marca_id;codigo;codigo_pesq
2;42;31;52268937;52268937
3;656;31;376827550;376827550
4;415;31;2314159013;2314159013
5;420;31;ZBA425021D;ZBA425021D
6;54;31;940621508;940621508
7;90;31;93251864;93251864
8;122;31;90129493;90129493
9;579;31;102503;102503
10;206;31;7073397;7073397
11;207;31;7073543;7073543
12;644;31;ZBA412503A;ZBA412503A
13;602;31;3054125035;3054125035
14;603;31;377412503AE;377412503AE
15;115;31;94644420;94644420
16;652;31;ZBC412503;ZBC412503
18;91;31;93218896;93218896
19;153;31;93223742;93223742
21;225;31;500018070;500018070
25;257;31;46 420 780;46420780
28;654;31;ZBC513029B;ZBC513029B
29;627;31;191513033;191513033
30;628;31;191513033B;191513033B
31;445;31;55300 4F700;553004F700
32;62;31;90222900;90222900
33;3;31;NK71E-34-700;NK71E34700
34;455;31;NK721-28-700;NK72128700
35;607;31;377513029L;377513029L
36;608;31;377513029H;377513029H
37;632;31;1114130311;1114130311
38;55;31;94608769;94608769
39;102;31;94608779;94608779
40;67;31;94634887;94634887
41;116;31;94644422;94644422
42;583;31;1054130311;1054130311
44;68;31;03303839;3303839
45;69;31;9303841;9303841
46;634;31;2115130314;2115130314
47;327;31;75MU18080A;75MU18080A
48;609;31;3055130291;3055130291
49;74;31;94615011;94615011
50;610;31;3055130293;3055130293
51;645;31;ZBA513031C;ZBA513031C
52;635;31;2114130319;2114130319
53;658;31;3085130293;3085130293
54;643;31;3095130293;3095130293
55;331;31;85NU18080B;85NU18080B
56;98;31;52272799;52272799
57;117;31;52257133;52257133
58;123;31;93218095;93218095
59;99;31;93218898;93218898
60;154;31;93223744;93223744
61;92;31;93233349;93233349
62;636;31;2374130311;2374130311
63;5;31;AA11028700B;AA11028700B
64;6;31;AA10028700B;AA10028700B
65;472;31;CA340002;CA340002
66;473;31;CA330001;CA330001
67;613;31;5X9513029D;5X9513029D
68;459;31;0K60A-3470A;K60A3470A
69;446;31;54310 4F000;543104F000
70;692;31;811.407.153.C;811407153C
71;693;31;857.457.154 1 C;8574571541C
72;693;31;857.457.153 1 C;8574571531C
74;693;31;857.407.157.1 C;8574071571C
76;808;31;307.407.155.1.C;3074071551C
77;809;31;305.407.155.3.C;3054071553C
82;807;31;6Q0407151ED;6Q0407151ED
85;746;31;46.454.598 S;46454598S
86;747;31;46.454.597 S;46454597S
87;743;31;7.576.418 C;7576418C
91;690;31;46474556;46474556
92;691;31;46474557;46474557
93;741;31;46777742;46777742
95;696;31;94.602.707 C;94602707C
96;697;31;94.602.708 C;94602708C
97;698;31;93.219.351 C;93219351C
99;702;31;93.204.465 C;93204465C
100;703;31;93.233.488 C;93233488C
101;704;31;93.204.551 C;93204551C
103;733;31;93.216.574 C;93216574C
104;734;31;93.216.573 C;93216573C
105;712;31;7.322.151 S;7322151S
106;713;31;7.322.152 S;7322152S
107;714;31;7.322.149 C;7322149C
108;715;31;7.322.150 C;7322150C
109;716;31;8957756;8957756
112;718;31;8937986;8937986
113;718;31;52259198;52259198
114;719;31;94613239;94613239
115;720;31;94613240;94613240
116;709;31;93213425;93213425
117;710;31;93213426;93213426
122;725;31;9.306.509 C;9306509C
123;725;31;9.306.509 CAA;9306509CAA
124;726;31;9.306.510 C;9306510C
125;726;31;9.306.510 CAA;9306510CAA
126;727;31;90445118;90445118
127;728;31;90445119;90445119
130;731;31;93.368.868.BC;93368868BC
131;732;31;93.368.869.BC;93368869BC
133;754;31;85NU 5K 742 A;85NU5K742A
135;768;31;95AB 3051 ABB;95AB3051ABB
137;767;31;542407366;542407366
138;780;31;542407365;542407365
141;773;31;97KB.3051-CB;97KB3051CB
142;774;31;97KB.3042-CBH;97KB3042CBH
143;775;31;97KB.3051-CBH;97KB3051CBH
150;735;31;3520.H4;3520H4
152;735;31;3520.A2;3520A2
153;735;31;3520.F5;3520F5
154;735;31;3520.G3;3520G3
159;736;31;3521.72;352172
163;792;31;3520-C8;3520C8
164;793;31;3521 C8;3521C8
168;799;31;7700781035;7700781035
169;799;31;7700818052;7700818052
170;799;31;7701465159;7701465159
172;804;31;48.068-12 191;4806812191
173;56;31;94630386;94630386
174;637;31;21151303114;21151303114
175;145;31;90223732;90223732
176;80;31;93228390;93228390
177;659;31;376513029;376513029
178;660;31;5X9513029;5X9513029
179;43;31;4570098001;4570098001
180;33;31;93278843;93278843
181;375;31;2C353E651AA;2C353E651AA
182;614;31;3054125037;3054125037
183;299;31;7734652;7734652
184;300;31;7735912;7735912
185;417;31;32541250311;32541250311
186;301;31;501000780;501000780
187;302;31;501000198;501000198
188;264;31;464567250;464567250
189;155;31;93227087;93227087
191;26;31;90496642;90496642
192;278;31;824912930;824912930
193;156;31;93229861;93229861
194;9;31;1JO413025BG;1JO413025BG
195;188;31;9688605180;9688605180
196;176;31;9687636980;9687636980
197;398;31;7S55-18K076-AB;7S5518K076AB
198;425;31;52611-SIL-M010;52611SILM010
200;63;31;93310409;93310409
201;57;31;52285218;52285218
204;27;31;93226159;93226159
205;124;31;93227976;93227976
206;353;31;557513029D;557513029D
207;383;31;96FB18K076DC;96FB18K076DC
208;399;31;97KB18045CB;97KB18045CB
209;519;31;7700436289;7700436289
210;519;31;8200 1264 05;8200126405
211;489;31;562006S300;562006S300
212;490;31;562006S310;562006S310
213;483;31;CH340000;CH340000
214;495;31;56200EK000;56200EK000
215;248;31;00517335240;517335240
